City,lat,lng,,,,,city,state_id
"Barstow, WA",48.7783,-118.1329,,,,,Barstow,WA
"Moclips, WA",47.2348,-124.2025,,,,,Moclips,WA
"Bellingham, WA",48.7543,-122.4687,,,,,Bellingham,WA
"Vader, WA",46.4045,-122.9569,,,,,Vader,WA
"North Lynnwood, WA",47.8533,-122.2762,,,,,North Lynnwood,WA
"Tracyton, WA",47.6095,-122.6533,,,,,Tracyton,WA
"White Salmon, WA",45.7282,-121.4853,,,,,White Salmon,WA
"Peaceful Valley, WA",48.9477,-122.1406,,,,,Peaceful Valley,WA
"East Renton Highlands, WA",47.4718,-122.0854,,,,,East Renton Highlands,WA
"Metaline, WA",48.854,-117.3899,,,,,Metaline,WA
"Deming, WA",48.8381,-122.2313,,,,,Deming,WA
"Medical Lake, WA",47.5712,-117.6893,,,,,Medical Lake,WA
"Aberdeen, WA",46.9757,-123.8095,,,,,Aberdeen,WA
"Chehalis, WA",46.6637,-122.9647,,,,,Chehalis,WA
"Onalaska, WA",46.5783,-122.7112,,,,,Onalaska,WA
"Toledo, WA",46.4414,-122.8496,,,,,Toledo,WA
"Everson, WA",48.9123,-122.351,,,,,Everson,WA
"Belfair, WA",47.4495,-122.8487,,,,,Belfair,WA
"Lynnwood, WA",47.8285,-122.3035,,,,,Lynnwood,WA
"Colton, WA",46.5675,-117.1285,,,,,Colton,WA
"Malden, WA",47.2296,-117.4731,,,,,Malden,WA
"Ames Lake, WA",47.6346,-121.9664,,,,,Ames Lake,WA
"Wilson Creek, WA",47.423,-119.1176,,,,,Wilson Creek,WA
"North Yelm, WA",46.9647,-122.6029,,,,,North Yelm,WA
"Mirrormont, WA",47.4616,-121.9936,,,,,Mirrormont,WA
